11111	3.95
12176	29.30
13980	29.76
15010	13.07
15120	36.76
15220	9.17
15221	35.30
15330	18.34
15470	9.25
16170	15.89
17430	9.18
17640	11.76
18720	39.16
19620	25.83
20550	44.02
21410	40.10
21710	20.73
22310	41.34
22320	49.07
23060	49.81
23320	46.98
23600	9.59
23780	14.29
23890	8.01
23930	46.74
25560	17.45
26030	16.76
26100	16.50
26490	21.97
27490	48.15
28140	38.97
28380	12.77
28750	20.99
28751	9.27
28910	19.69
30120	22.59
30240	8.15
30760	15.89
31160	15.85
32130	27.72
32200	23.44
32720	43.98
33060	40.55
33630	6.17
33660	15.92
34260	11.11
34400	41.42
34990	26.90
35140	30.06
35690	26.04
36140	10.26
37090	38.06
38830	27.17
38960	17.33
39070	10.51
40770	9.98
41870	29.93
42490	45.62
42740	21.47
43680	18.54
44080	34.23
44850	26.08
46530	45.13
46950	25.31
47730	47.62
48120	29.73
49080	6.25
49120	37.33
49610	23.15
49670	7.72
49710	28.63
50680	40.08
51110	22.81
51490	11.40
51690	12.99
53010	19.13
53270	9.97
53370	30.74
53970	44.08
54650	46.18
55555	29.40
55800	33.34
55870	10.70
56220	13.57
56920	46.53
57930	33.44
58650	6.36
59390	28.89
59560	29.16
59790	22.33
59870	9.15
61160	47.91
61210	26.76
61470	45.43
61820	25.30
62510	19.01
63350	34.46
64810	37.69
65100	12.19
66680	14.21
66800	20.33
66990	33.75
68100	15.97
68270	29.42
68430	27.24
68580	43.27
68950	10.88
69810	8.74
69870	16.79
71900	14.89
73060	14.34
73360	48.14
73500	6.93
73770	36.55
74930	48.13
75180	24.11
75930	34.56
75931	22.56
75980	19.54
76920	31.76
76921	18.83
77470	49.55
78450	32.45
78980	16.14
79010	19.55
79390	43.65
80820	23.41
80830	40.38
81040	27.84
81180	17.53
81550	20.00
81680	39.60
81770	18.76
83090	43.41
83100	32.20
83660	25.29
85600	15.87
86260	36.01
86500	6.08
86830	8.03
87110	19.81
87250	13.69
87450	40.42
87580	35.71
87660	46.18
87920	19.17
88040	37.91
88690	23.44
88780	36.90
89390	10.67
89700	11.67
89710	29.21
90020	16.28
91050	21.72
91250	21.41
92400	6.60
92620	17.33
92640	24.28
93630	20.03
93840	34.03
94230	40.41
94470	31.12
94480	44.85
94860	17.82
95170	31.93
95330	23.93
96170	15.76
97230	9.57
98040	36.53
98280	15.64
98330	12.65
98560	43.55
98750	29.42
99530	49.10
99640	42.61
99999	47.99
